"codigo","chave","nome","categoria","familia","classes","nivel_item","atributos","requisitos","descricao","loja_oficial","marketplace","motivo_comercial"
"4655","9-47","Phantom  Pants","Calças","Armadura","Magic Gladiator (classe inicial)","115","defesa 66, durabilidade 86","nível 380, força 212, agilidade 57","Phantom  Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 66, durabilidade 86. Requisitos: nível 380, força 212, agilidade 57. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4656","9-48","Destroy Pants","Calças","Armadura","Magic Gladiator (classe inicial)","113","defesa 51, durabilidade 86","nível 380, força 62, agilidade 19, energia 165","Destroy Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 51, durabilidade 86. Requisitos: nível 380, força 62, agilidade 19, energia 165. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4657","9-49","Seraphim Pants","Calças","Armadura","Fairy Elf (classe inicial)","116","defesa 53, durabilidade 86","nível 380, força 55, agilidade 197","Seraphim Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 53, durabilidade 86. Requisitos: nível 380, força 55, agilidade 197. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4658","9-50","Divine Pants","Calças","Armadura","Fairy Elf (classe inicial)","109","defesa 46, durabilidade 86","nível 380, força 32, agilidade 29, energia 138","Divine Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 46, durabilidade 86. Requisitos: nível 380, força 32, agilidade 29, energia 138. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4659","9-51","Royal Pants","Calças","Armadura","Dark Lord (classe inicial)","116","defesa 46, durabilidade 86","nível 380, força 105, agilidade 38","Royal Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 46, durabilidade 86. Requisitos: nível 380, força 105, agilidade 38. Uso permitido: Dark Lord (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4660","9-52","Hades Pants","Calças","Armadura","Dark Wizard (classe inicial)","114","defesa 44, durabilidade 86","nível 380, força 60, agilidade 15, energia 181","Hades Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 44, durabilidade 86. Requisitos: nível 380, força 60, agilidade 15, energia 181. Uso permitido: Dark Wizard (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4661","9-53","Merlin Pants","Calças","Armadura","Summoner (classe inicial)","143","defesa 130, durabilidade 86","nível 380, força 60, agilidade 15","Merlin Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 130, durabilidade 86. Requisitos: nível 380, força 60, agilidade 15. Uso permitido: Summoner (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4667","9-59","Sacred Fire Pants","Calças","Armadura","Rage Fighter (classe inicial)","62","defesa 33, durabilidade 52","força 85, vitalidade 75","Sacred Fire Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 33, durabilidade 52. Requisitos: força 85, vitalidade 75. Uso permitido: Rage Fighter (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4668","9-60","Storm Jahad Pants","Calças","Armadura","Rage Fighter (classe inicial)","78","defesa 41, durabilidade 68","força 100, vitalidade 90","Storm Jahad Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 41, durabilidade 68. Requisitos: força 100, vitalidade 90. Uso permitido: Rage Fighter (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4669","9-61","Piercing Groove Pants","Calças","Armadura","Rage Fighter (classe inicial)","95","defesa 49, durabilidade 82","força 115, vitalidade 100","Piercing Groove Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 49, durabilidade 82. Requisitos: força 115, vitalidade 100. Uso permitido: Rage Fighter (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4670","9-62","Scale Pants","Calças","Armadura","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial); Rage Fighter (classe inicial)","25","defesa 18, durabilidade 255","nível 1","Scale Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 18, durabilidade 255. Requisitos: nível 1. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial), Rage Fighter (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4671","9-63","Silk Pants","Calças","Armadura","Fairy Elf (classe inicial)","18","defesa 13, durabilidade 255","nível 1","Silk Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 13, durabilidade 255. Requisitos: nível 1. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4672","9-64","Sphinx Pants","Calças","Armadura","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","34","defesa 19, durabilidade 255","nível 1","Sphinx Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 19, durabilidade 255. Requisitos: nível 1. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4673","9-65","Violent Wind Pants","Calças","Armadura","Summoner (classe inicial)","30","defesa 20, durabilidade 255","nível 1","Violent Wind Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 20, durabilidade 255. Requisitos: nível 1. Uso permitido: Summoner (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4674","9-66","Dark Soul Pants","Calças","Armadura","Dark Lord (classe inicial)","70","defesa 31, durabilidade 255","nível 150","Dark Soul Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 31, durabilidade 255. Requisitos: nível 150. Uso permitido: Dark Lord (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4675","9-67","Dragon Pants","Calças","Armadura","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","55","defesa 28, durabilidade 255","nível 150","Dragon Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 28, durabilidade 255. Requisitos: nível 150. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4676","9-68","Guardian Pants","Calças","Armadura","Fairy Elf (classe inicial)","54","defesa 30, durabilidade 255","nível 150","Guardian Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 30, durabilidade 255. Requisitos: nível 150. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4677","9-69","Legendary Pants","Calças","Armadura","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","53","defesa 25, durabilidade 255","nível 150","Legendary Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 25, durabilidade 255. Requisitos: nível 150. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4678","9-70","Red Wing Pants","Calças","Armadura","Summoner (classe inicial)","53","defesa 26, durabilidade 255","nível 150","Red Wing Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 26, durabilidade 255. Requisitos: nível 150. Uso permitido: Summoner (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4679","9-71","Atlans Pants","Calças","Armadura","Magic Gladiator (classe inicial)","74","defesa 39, durabilidade 255","nível 150","Atlans Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 39, durabilidade 255. Requisitos: nível 150. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4680","9-72","Storm Jahad Pants","Calças","Armadura","Rage Fighter (classe inicial)","78","defesa 33, durabilidade 255","nível 150","Storm Jahad Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 33, durabilidade 255. Requisitos: nível 150. Uso permitido: Rage Fighter (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4681","9-73","Phoenix Soul Pants","Calças","Armadura","Rage Fighter (classe inicial)","134","defesa 68, durabilidade 88","nível 380, força 97, vitalidade 85","Phoenix Soul Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 68, durabilidade 88. Requisitos: nível 380, força 97, vitalidade 85. Uso permitido: Rage Fighter (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4808","9-200","BloodMoon Pants","Calças","Armadura","Rage Fighter (classe inicial)","134","defesa 68, durabilidade 88","nível 380, força 97, vitalidade 85","BloodMoon Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 68, durabilidade 88. Requisitos: nível 380, força 97, vitalidade 85. Uso permitido: Rage Fighter (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4809","9-201","BloodMoon F Pants","Calças","Armadura","Rage Fighter (classe inicial)","134","defesa 68, durabilidade 88","nível 380, força 97, vitalidade 85","BloodMoon F Pants é um item da família armadura, catalogado em Calças. A configuração atual registra defesa 68, durabilidade 88. Requisitos: nível 380, força 97, vitalidade 85. Uso permitido: Rage Fighter (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5120","10-0","Bronze Gloves","Luvas","Armadura","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","13","velocidade de ataque 4, defesa 4, durabilidade 34","força 80, agilidade 20","Bronze Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 4, defesa 4, durabilidade 34. Requisitos: força 80, agilidade 20. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5121","10-1","Dragon Gloves","Luvas","Armadura","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","52","velocidade de ataque 6, defesa 14, durabilidade 68","força 120, agilidade 30","Dragon Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 14, durabilidade 68. Requisitos: força 120, agilidade 30. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5122","10-2","Pad Gloves","Luvas","Armadura","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","3","defesa 2, durabilidade 28","força 20","Pad Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra defesa 2, durabilidade 28. Requisitos: força 20. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5123","10-3","Legendary Gloves","Luvas","Armadura","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","44","defesa 11, durabilidade 42","força 20","Legendary Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra defesa 11, durabilidade 42. Requisitos: força 20. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5124","10-4","Bone Gloves","Luvas","Armadura","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","14","defesa 5, durabilidade 30","força 20","Bone Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra defesa 5, durabilidade 30. Requisitos: força 20. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5125","10-5","Leather Gloves","Luvas","Armadura","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","4","velocidade de ataque 8, defesa 2, durabilidade 30","força 80","Leather Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 8, defesa 2, durabilidade 30. Requisitos: força 80. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5126","10-6","Scale Gloves","Luvas","Armadura","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","22","velocidade de ataque 10, defesa 7, durabilidade 40","força 110","Scale Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 10, defesa 7, durabilidade 40. Requisitos: força 110. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5127","10-7","Sphinx Gloves","Luvas","Armadura","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","28","defesa 8, durabilidade 36","força 20","Sphinx Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra defesa 8, durabilidade 36. Requisitos: força 20. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5128","10-8","Brass Gloves","Luvas","Armadura","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","32","velocidade de ataque 8, defesa 9, durabilidade 44","força 100, agilidade 30","Brass Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 8, defesa 9, durabilidade 44. Requisitos: força 100, agilidade 30. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5129","10-9","Plate Gloves","Luvas","Armadura","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","42","velocidade de ataque 4, defesa 12, durabilidade 50","força 130","Plate Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 4, defesa 12, durabilidade 50. Requisitos: força 130. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5130","10-10","Vine Gloves","Luvas","Armadura","Fairy Elf (classe inicial)","4","velocidade de ataque 4, defesa 2, durabilidade 22","força 30, agilidade 60","Vine Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 4, defesa 2, durabilidade 22. Requisitos: força 30, agilidade 60. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5131","10-11","Silk Gloves","Luvas","Armadura","Fairy Elf (classe inicial)","14","velocidade de ataque 8, defesa 4, durabilidade 26","força 30, agilidade 70","Silk Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 8, defesa 4, durabilidade 26. Requisitos: força 30, agilidade 70. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5132","10-12","Wind Gloves","Luvas","Armadura","Fairy Elf (classe inicial)","26","velocidade de ataque 10, defesa 6, durabilidade 32","força 30, agilidade 80","Wind Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 10, defesa 6, durabilidade 32. Requisitos: força 30, agilidade 80. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5133","10-13","Spirit Gloves","Luvas","Armadura","Fairy Elf (classe inicial)","38","velocidade de ataque 4, defesa 9, durabilidade 38","força 40, agilidade 80","Spirit Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 4, defesa 9, durabilidade 38. Requisitos: força 40, agilidade 80. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5134","10-14","Guardian Gloves","Luvas","Armadura","Fairy Elf (classe inicial)","50","velocidade de ataque 6, defesa 15, durabilidade 45","força 40, agilidade 80","Guardian Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 15, durabilidade 45. Requisitos: força 40, agilidade 80. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5135","10-15","Storm Crow Gloves","Luvas","Armadura","Magic Gladiator (classe inicial)","70","velocidade de ataque 6, defesa 20, durabilidade 80","força 150, agilidade 70","Storm Crow Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 20, durabilidade 80. Requisitos: força 150, agilidade 70. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5136","10-16","Black Dragon Gloves","Luvas","Armadura","Dark Knight (classe inicial)","76","velocidade de ataque 6, defesa 22, durabilidade 74","força 170, agilidade 60","Black Dragon Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 22, durabilidade 74. Requisitos: força 170, agilidade 60. Uso permitido: Dark Knight (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5137","10-17","Dark Phoenix Gloves","Luvas","Armadura","Dark Knight (segunda classe)","86","velocidade de ataque 6, defesa 37, durabilidade 80","força 205, agilidade 63","Dark Phoenix Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 37, durabilidade 80. Requisitos: força 205, agilidade 63. Uso permitido: Dark Knight (segunda classe). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5138","10-18","Grand Soul Gloves","Luvas","Armadura","Dark Wizard (segunda classe)","70","velocidade de ataque 5, defesa 20, durabilidade 67","força 49, agilidade 10","Grand Soul Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 5, defesa 20, durabilidade 67. Requisitos: força 49, agilidade 10. Uso permitido: Dark Wizard (segunda classe). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5139","10-19","Divine Gloves","Luvas","Armadura","Fairy Elf (segunda classe)","72","velocidade de ataque 6, defesa 29, durabilidade 74","força 50, agilidade 110","Divine Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 29, durabilidade 74. Requisitos: força 50, agilidade 110. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5140","10-20","Thunder Hawk Gloves","Luvas","Armadura","Magic Gladiator (classe inicial)","88","velocidade de ataque 7, defesa 34, durabilidade 82","força 150, agilidade 70","Thunder Hawk Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 7, defesa 34, durabilidade 82. Requisitos: força 150, agilidade 70. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5141","10-21","Great Dragon Gloves","Luvas","Armadura","Dark Knight (segunda classe)","94","velocidade de ataque 6, defesa 48, durabilidade 86","força 200, agilidade 58","Great Dragon Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 48, durabilidade 86. Requisitos: força 200, agilidade 58. Uso permitido: Dark Knight (segunda classe). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5142","10-22","Dark Soul Gloves","Luvas","Armadura","Dark Wizard (segunda classe)","87","velocidade de ataque 6, defesa 30, durabilidade 75","força 55, agilidade 18","Dark Soul Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 30, durabilidade 75. Requisitos: força 55, agilidade 18. Uso permitido: Dark Wizard (segunda classe). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5143","10-23","Hurricane Gloves","Luvas","Armadura","Magic Gladiator (classe inicial)","102","velocidade de ataque 7, defesa 45, durabilidade 90","força 162, agilidade 66","Hurricane Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 7, defesa 45, durabilidade 90. Requisitos: força 162, agilidade 66. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5144","10-24","Red Spirit Gloves","Luvas","Armadura","Fairy Elf (segunda classe)","84","velocidade de ataque 6, defesa 38, durabilidade 80","força 52, agilidade 115","Red Spirit Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 38, durabilidade 80. Requisitos: força 52, agilidade 115. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5145","10-25","Light Plate Gloves","Luvas","Armadura","Dark Lord (classe inicial)","42","velocidade de ataque 7, defesa 12, durabilidade 42","força 70, agilidade 20","Light Plate Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 7, defesa 12, durabilidade 42. Requisitos: força 70, agilidade 20. Uso permitido: Dark Lord (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5146","10-26","Adamantine Gloves","Luvas","Armadura","Dark Lord (classe inicial)","57","velocidade de ataque 6, defesa 18, durabilidade 56","força 77, agilidade 21","Adamantine Gloves é um item da família armadura, catalogado em Luvas. A configuração atual registra velocidade de ataque 6, defesa 18, durabilidade 56. Requisitos: força 77, agilidade 21. Uso permitido: Dark Lord (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
